influencer_id,location
1,
3,454
4,
5597,
5,84
6,138
5650,18
1727,121
7,
8,454
9,
10,
11,
12,
26,
13,43
14,454
15,84
16,
17,
18,454
19,454
20,287
21,84
22,
23,39
24,50
25,207
27,454
28,454
29,21
524,188
30,
31,453
32,84
33,428
34,
35,454
36,121
37,121
38,
39,483
40,454
41,473
42,84
43,121
44,454
45,236
46,344
47,454
48,214
49,292
50,401
51,
52,121
53,
54,
55,264
56,
57,84
58,
59,
60,
61,373
62,
63,
64,
65,84
66,
67,
68,
69,454
70,
71,454
72,
73,
74,
75,
76,
77,
78,84
79,475
80,
81,
82,490
83,
84,214
85,
86,
87,454
88,305
89,84
90,249
91,
92,
93,454
94,8
95,
96,258
97,84
98,194
99,221
100,
101,
102,54
103,524
104,
105,
106,
107,
109,
110,454
111,143
112,
113,84
114,
115,139
116,
117,413
118,121
119,112
120,266
121,180
122,
123,
124,116
125,84
126,454
127,84
128,84
129,
130,454
131,430
132,508
133,
134,230
135,92
136,332
137,121
138,148
139,110
140,90
141,454
142,
143,84
144,275
1686,84
145,
146,85
147,151
148,51
149,30
150,463
151,
152,121
153,516
154,496
155,84
156,
157,84
158,121
159,
160,454
161,237
162,
163,128
164,511
165,186
166,454
167,121
168,
169,
170,454
171,121
172,454
173,84
174,
175,
176,
177,121
178,382
179,
180,
181,314
182,
183,
184,454
185,84
186,
187,454
188,169
189,84
190,
200,
191,454
192,484
193,84
194,
195,
196,121
197,402
198,77
199,121
201,515
202,454
203,440
204,445
205,454
206,121
207,384
208,454
209,454
210,
211,84
212,271
213,501
214,533
215,
216,249
217,37
218,121
219,453
220,
221,84
222,414
223,
224,
225,454
226,466
227,84
228,84
229,248
230,
231,454
232,270
233,89
234,
235,456
236,
237,84
238,48
239,
240,
241,454
242,454
243,
244,161
245,
246,77
247,106
248,253
249,
250,460
251,
252,26
253,
254,368
255,84
256,454
257,121
258,133
259,138
260,
261,454
262,121
263,23
264,78
265,454
266,121
267,
268,121
269,518
270,373
271,478
272,121
273,
274,
275,
276,
277,
278,
279,
280,
281,121
282,
283,
284,
285,
286,453
287,
288,87
289,
290,454
291,
292,419
293,84
294,409
295,454
296,
297,
298,211
299,
300,
301,
302,
303,454
304,159
305,121
306,353
307,
308,454
309,84
310,120
311,107
312,93
313,454
314,
315,437
316,454
317,84
318,
319,
320,
321,
322,454
323,121
324,84
325,532
326,
327,121
328,70
329,482
330,35
331,
332,156
333,
334,507
335,84
336,
337,31
338,
339,85
340,121
341,100
342,364
343,393
344,121
345,
346,
347,320
348,
349,121
350,366
351,
352,121
353,213
354,48
355,302
356,
357,165
358,458
359,5
360,432
361,9
362,454
363,121
364,306
365,43
366,223
367,215
368,454
369,
370,
371,306
372,84
373,9
374,454
375,
376,224
377,16
378,
379,194
380,84
381,84
382,84
383,336
384,534
385,461
386,363
387,368
388,
389,
390,
391,259
392,453
393,101
394,121
395,380
396,84
397,454
1723,462
516,12
400,189
401,462
402,523
403,73
404,8
405,121
406,454
407,
408,84
409,236
410,121
411,128
412,121
413,
414,71
415,
416,457
417,
418,84
419,390
420,454
421,30
422,454
423,419
424,84
425,133
426,125
427,56
428,224
429,454
430,121
431,
432,
433,84
434,121
435,454
436,121
437,
438,
439,454
440,425
441,261
442,
443,84
444,
445,125
446,
447,84
448,445
449,324
450,298
451,531
452,
453,121
454,84
455,
456,97
457,121
458,121
459,
460,454
461,
462,407
463,454
464,121
465,84
466,492
467,87
468,
469,208
470,
471,121
472,530
473,
474,523
475,332
476,160
477,
478,
479,454
480,
481,
482,117
483,
484,379
485,121
486,130
487,20
488,523
489,333
490,414
491,
492,212
493,
494,111
495,121
496,226
497,84
498,234
499,139
500,121
501,91
502,
503,
504,354
505,
506,46
507,534
508,84
509,470
510,417
511,147
512,475
513,
514,84
518,75
517,145
519,
520,
521,121
522,121
523,84
525,121
526,
527,84
528,84
529,270
530,
531,
532,121
533,364
534,
535,162
536,
537,499
538,
539,275
540,454
541,277
542,
543,
544,462
545,
546,
547,381
548,54
549,75
550,
551,
552,260
553,530
554,24
555,465
556,
557,456
558,454
559,258
560,276
561,
562,
563,81
564,60
565,12
566,
567,140
568,
569,
570,
571,
572,
573,
574,
575,74
576,
577,121
578,
579,
580,286
581,45
582,
583,121
584,
585,
586,84
587,84
588,
589,237
590,203
591,
592,454
593,
594,237
595,344
596,84
597,
598,150
599,257
600,
601,121
602,
603,
604,341
605,
606,91
607,454
608,
609,187
610,454
611,333
612,237
613,454
614,454
615,84
616,454
617,121
618,
619,197
620,81
621,
622,121
623,
624,121
625,383
626,279
627,353
628,150
629,454
630,121
631,84
632,
633,84
634,
635,
636,44
637,454
638,388
639,84
640,394
641,454
642,26
643,454
644,121
645,
646,84
647,231
648,84
649,213
650,294
651,184
652,121
653,434
654,
655,428
656,362
657,239
658,84
659,374
660,7
661,
662,524
663,
664,
665,
666,52
667,454
668,121
669,121
670,121
671,35
672,454
673,
674,197
675,
676,454
677,454
678,
679,268
680,
681,
682,293
683,384
684,372
685,84
686,110
687,454
688,121
689,121
690,463
691,17
692,84
693,84
694,
695,454
696,513
697,304
698,189
699,271
700,
701,84
702,541
703,454
704,168
705,84
706,29
707,
708,454
709,121
710,360
711,252
712,293
713,360
714,454
715,
716,61
717,454
718,302
719,84
720,282
721,264
722,454
723,
724,121
725,
726,84
727,
728,121
729,
730,121
731,72
732,135
733,432
734,121
735,157
736,454
737,121
738,
739,361
740,
741,
742,521
743,432
744,539
745,
746,121
747,
748,454
749,84
750,
751,110
752,
753,448
754,357
755,
756,451
757,
758,534
759,165
760,244
761,374
762,454
763,489
764,
765,454
766,84
767,215
768,203
769,172
770,454
771,84
772,84
773,238
774,320
775,192
776,413
777,202
778,358
779,47
780,276
781,121
782,84
783,440
784,145
785,
786,
787,454
788,246
789,403
790,525
791,192
792,206
793,454
794,297
795,
796,454
797,491
798,
799,485
800,266
801,507
802,406
803,
804,121
805,314
806,116
807,118
808,2
809,
810,10
811,
812,
813,
814,408
815,450
816,174
817,
818,
819,454
820,207
821,84
822,
823,
824,282
825,
826,
827,121
828,
829,245
830,454
831,341
832,
833,483
834,444
835,241
836,
837,57
838,332
839,10
840,454
841,121
842,116
843,454
844,
845,
846,121
847,121
848,121
849,416
850,
851,454
852,
853,454
854,454
855,232
856,288
857,324
858,
859,533
860,405
861,41
862,
863,
864,274
865,194
866,121
867,260
868,408
869,122
870,254
871,
872,
873,
874,84
875,
876,121
877,84
878,369
879,121
880,48
881,112
882,361
883,454
884,449
885,197
886,538
887,454
888,
889,464
890,454
891,121
892,454
893,121
894,121
895,
896,
897,454
898,404
899,151
900,121
901,51
902,
903,43
904,
905,454
906,198
907,505
908,
909,58
910,84
911,84
912,466
913,509
914,
